rawdataID	dataset	reprSMILES_processed	molid	InChI	InChIKey	Exp_Macro_pKa_processed	T_processed	I_processed	primary_source	comments	assigned_charge_state_transition	assignment_error	assignment_method	exclude_flag	exclude_comment
SAMPL6_1	SAMPL6	O=C1NCCCc2c1oc1ccc(O)cc21	SM01	InChI=1S/C12H11NO3/c14-7-3-4-10-9(6-7)8-2-1-5-13-12(15)11(8)16-10/h3-4,6,14H,1-2,5H2,(H,13,15)	AACFPJSJOWQNBN-UHFFFAOYSA-N	9.53	25	0.165			0>>-1	0.457000000000001	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_2	SAMPL6	FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1	SM02	InChI=1S/C15H10F3N3/c16-15(17,18)10-4-3-5-11(8-10)21-14-12-6-1-2-7-13(12)19-9-20-14/h1-9H,(H,19,20,21)	VCOMYMMMFREKQC-UHFFFAOYSA-N	5.03	25	0.165			1>>0	0.731	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_3	SAMPL6	O=C(Nc1nnc(Cc2ccccc2)s1)c1cccs1	SM03	InChI=1S/C14H11N3OS2/c18-13(11-7-4-8-19-11)15-14-17-16-12(20-14)9-10-5-2-1-3-6-10/h1-8H,9H2,(H,15,17,18)	IGBVONNIYTWQQL-UHFFFAOYSA-N	7.02	25	0.165			0>>-1	0.231000000000001	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_4	SAMPL6	Clc1ccc(CNc2ncnc3ccccc23)cc1	SM04	InChI=1S/C15H12ClN3/c16-12-7-5-11(6-8-12)9-17-15-13-3-1-2-4-14(13)18-10-19-15/h1-8,10H,9H2,(H,17,18,19)	BTRLSAYDVSPYCS-UHFFFAOYSA-N	6.02	25	0.165			1>>0	0.848	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_5	SAMPL6	O=C(Nc1ccccc1N1CCCCC1)c1ccc(Cl)o1	SM05	InChI=1S/C16H17ClN2O2/c17-15-9-8-14(21-15)16(20)18-12-6-2-3-7-13(12)19-10-4-1-5-11-19/h2-3,6-9H,1,4-5,10-11H2,(H,18,20)	VZFMTNFVLVJCCC-UHFFFAOYSA-N	4.59	25	0.165			1>>0	0.0289999999999999	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_6	SAMPL6	O=C(Nc1cccc2cccnc12)c1cncc(Br)c1	SM06	InChI=1S/C15H10BrN3O/c16-12-7-11(8-17-9-12)15(20)19-13-5-1-3-10-4-2-6-18-14(10)13/h1-9H,(H,19,20)	ZQSXDZKZFCDQSE-UHFFFAOYSA-N	3.03	25	0.165			1>>0	0.178	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_7	SAMPL6	O=C(Nc1cccc2cccnc12)c1cncc(Br)c1	SM06	InChI=1S/C15H10BrN3O/c16-12-7-11(8-17-9-12)15(20)19-13-5-1-3-10-4-2-6-18-14(10)13/h1-9H,(H,19,20)	ZQSXDZKZFCDQSE-UHFFFAOYSA-N	11.74	25	0.165			0>>-1	0.691000000000001	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_8	SAMPL6	c1ccc(CNc2ncnc3ccccc23)cc1	SM07	InChI=1S/C15H13N3/c1-2-6-12(7-3-1)10-16-15-13-8-4-5-9-14(13)17-11-18-15/h1-9,11H,10H2,(H,16,17,18)	FVWANTDQRFSCAL-UHFFFAOYSA-N	6.08	25	0.165			1>>0	0.908	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_9	SAMPL6	Cc1ccc2[nH]c(=O)c(CC(=O)O)c(-c3ccccc3)c2c1	SM08	InChI=1S/C18H15NO3/c1-11-7-8-15-13(9-11)17(12-5-3-2-4-6-12)14(10-16(20)21)18(22)19-15/h2-9H,10H2,1H3,(H,19,22)(H,20,21)	NAOPCRAIYGPGOJ-UHFFFAOYSA-N	4.22	25	0.165			0>>-1	0.210999999999999	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_10	SAMPL6	COc1cccc(Nc2ncnc3ccccc23)c1.Cl	SM09	InChI=1S/C15H13N3O.ClH/c1-19-12-6-4-5-11(9-12)18-15-13-7-2-3-8-14(13)16-10-17-15;/h2-10H,1H3,(H,16,17,18);1H	JKXWTCGOHAXNQI-UHFFFAOYSA-N	5.37	25	0.165			1>>0	1.077	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_11	SAMPL6	O=C(CNC(=O)c1ccccc1)Nc1nc2ccccc2s1	SM10	InChI=1S/C16H13N3O2S/c20-14(10-17-15(21)11-6-2-1-3-7-11)19-16-18-12-8-4-5-9-13(12)22-16/h1-9H,10H2,(H,17,21)(H,18,19,20)	XADJPGOQPUOTJY-UHFFFAOYSA-N	9.02	25	0.165			0>>-1	0.00999999999999979	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_12	SAMPL6	Nc1ncnc2c1cnn2-c1ccccc1	SM11	InChI=1S/C11H9N5/c12-10-9-6-15-16(11(9)14-7-13-10)8-4-2-1-3-5-8/h1-7H,(H2,12,13,14)	KKDPIZPUTYIBFX-UHFFFAOYSA-N	3.89	25	0.165			1>>0	0.551	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_13	SAMPL6	Cl.Clc1cccc(Nc2ncnc3ccccc23)c1	SM12	InChI=1S/C14H10ClN3.ClH/c15-10-4-3-5-11(8-10)18-14-12-6-1-2-7-13(12)16-9-17-14;/h1-9H,(H,16,17,18);1H	KJSNIHYRHGBGAQ-UHFFFAOYSA-N	5.28	25	0.165			1>>0	0.99	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_14	SAMPL6	COc1cc2ncnc(Nc3cccc(C)c3)c2cc1OC	SM13	InChI=1S/C17H17N3O2/c1-11-5-4-6-12(7-11)20-17-13-8-15(21-2)16(22-3)9-14(13)18-10-19-17/h4-10H,1-3H3,(H,18,19,20)	RSVNNWQHWIOIOC-UHFFFAOYSA-N	5.77	25	0.165			1>>0	0.948	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_15	SAMPL6	Nc1ccc2c(c1)ncn2-c1ccccc1	SM14	InChI=1S/C13H11N3/c14-10-6-7-13-12(8-10)15-9-16(13)11-4-2-1-3-5-11/h1-9H,14H2	JSQMNGQWESPAOF-UHFFFAOYSA-N	2.58	25	0.165			2>>1	0.185	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_16	SAMPL6	Nc1ccc2c(c1)ncn2-c1ccccc1	SM14	InChI=1S/C13H11N3/c14-10-6-7-13-12(8-10)15-9-16(13)11-4-2-1-3-5-11/h1-9H,14H2	JSQMNGQWESPAOF-UHFFFAOYSA-N	5.3	25	0.165			1>>0	0.161	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_17	SAMPL6	Oc1ccc(-n2cnc3ccccc32)cc1	SM15	InChI=1S/C13H10N2O/c16-11-7-5-10(6-8-11)15-9-14-12-3-1-2-4-13(12)15/h1-9,16H	YPKCOJPZSAGCHD-UHFFFAOYSA-N	4.7	25	0.165			1>>0	0.505	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_18	SAMPL6	Oc1ccc(-n2cnc3ccccc32)cc1	SM15	InChI=1S/C13H10N2O/c16-11-7-5-10(6-8-11)15-9-14-12-3-1-2-4-13(12)15/h1-9,16H	YPKCOJPZSAGCHD-UHFFFAOYSA-N	8.94	25	0.165			0>>-1	0.358000000000001	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_19	SAMPL6	O=C(Nc1ccncc1)c1c(Cl)cccc1Cl	SM16	InChI=1S/C12H8Cl2N2O/c13-9-2-1-3-10(14)11(9)12(17)16-8-4-6-15-7-5-8/h1-7H,(H,15,16,17)	OLJPUMGNYIOTFM-UHFFFAOYSA-N	5.37	25	0.165			1>>0	1.79	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_20	SAMPL6	O=C(Nc1ccncc1)c1c(Cl)cccc1Cl	SM16	InChI=1S/C12H8Cl2N2O/c13-9-2-1-3-10(14)11(9)12(17)16-8-4-6-15-7-5-8/h1-7H,(H,15,16,17)	OLJPUMGNYIOTFM-UHFFFAOYSA-N	10.65	25	0.165			0>>-1	0.475	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_21	SAMPL6	c1ccc(CSc2nnc(-c3ccncc3)o2)cc1	SM17	InChI=1S/C14H11N3OS/c1-2-4-11(5-3-1)10-19-14-17-16-13(18-14)12-6-8-15-9-7-12/h1-9H,10H2	JYGQRLOMJKRAQM-UHFFFAOYSA-N	3.16	25	0.165			1>>0	0.527	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_22	SAMPL6	O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1	SM18	InChI=1S/C21H16F2N4O2S/c22-15-6-5-12(10-16(15)23)9-13-11-24-21(30-13)27-19(28)8-7-18-25-17-4-2-1-3-14(17)20(29)26-18/h1-6,10-11H,7-9H2,(H,24,27,28)(H,25,26,29)	NSBOINOQPZJFJR-UHFFFAOYSA-N	2.15	25	0.165			1>>0	0.722	Epikx.defaultsettings.chargewindow_-2_2		
SAMPL6_23	SAMPL6	O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1	SM18	InChI=1S/C21H16F2N4O2S/c22-15-6-5-12(10-16(15)23)9-13-11-24-21(30-13)27-19(28)8-7-18-25-17-4-2-1-3-14(17)20(29)26-18/h1-6,10-11H,7-9H2,(H,24,27,28)(H,25,26,29)	NSBOINOQPZJFJR-UHFFFAOYSA-N	9.58	25	0.165			0>>-1	0.411	Epikx.defaultsettings.chargewindow_-2_2		
